"BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"PHF3" 0.5093 2.404e-07 0.119 0.6564 0.6542 0.9647 0.5947 0.4073 0.4061 0.9076 0.5305 0.5465 1 0.03075
"SYNM" 0.4527 0.7972 0.7893 0.4362 0.4355 0.1697 0.8222 NA 0.7367 0.417 0.2518 0.983 NA 0.03089
"KRAS" 0.5687 0.6527 0.4516 0.4416 0.07793 0.5173 0.6674 0.8173 0.9677 0.1677 0.5603 0.08586 0.9001 0.031
"IGSF1" 0.2236 0.003715 0.2774 0.9158 0.5775 0.3473 0.3529 0.7044 0.429 0.185 0.3633 0.3316 0.9571 0.03102
"ZMYM3" 0.5969 0.03517 0.5441 0.6815 0.102 0.06016 0.1092 0.6623 0.8544 0.726 1 0.5112 NA 0.03104
"LRBA" 0.9147 0.0012 0.5049 0.8431 0.7038 0.2858 0.238 0.6663 0.5511 0.4034 0.4212 0.9947 NA 0.0311
"EPG5" 0.2292 NA NA 0.9217 NA 0.9981 NA 0.03771 NA NA NA 0.9682 0.8127 0.03112
"DNAH14" 0.8967 0.0002678 NA NA NA 0.6155 0.5503 NA NA 1 NA 0.3629 NA 0.03115
"NRG1" 0.503 0.6965 0.181 0.7604 0.9297 0.9616 0.9141 0.7224 0.1204 0.8203 0.6489 0.1868 1 0.03119
"XRN2" 0.5397 0.0136 0.5627 0.3049 0.02181 0.528 0.3712 0.6693 0.3241 0.4863 1 0.1547 1 0.03127
"RP1L1" 0.9353 0.3875 0.3051 0.2678 0.9011 0.2594 0.2895 0.6195 0.09837 0.1623 0.5955 0.9549 NA 0.03141
"TMEM131" 0.5837 0.0002219 0.08557 0.4307 0.5371 0.9878 0.7967 0.8076 0.5894 0.08638 0.5262 0.8311 NA 0.03155
"ROBO1" 0.305 0.05138 0.8104 0.4672 0.152 0.2943 0.7795 0.8896 0.124 0.5349 0.9095 0.7876 NA 0.03161
"RTTN" 0.2542 0.7744 0.2823 0.02608 0.007279 0.9579 0.7716 0.936 0.9496 0.2991 0.7739 0.8868 0.6779 0.03172
"KIF21A" 0.7054 3.903e-11 0.2955 0.1986 0.8328 0.1506 0.195 0.8544 0.589 0.6943 0.5239 0.2492 1 0.03173
"SCN1A" 0.7817 2.379e-10 0.8527 0.8727 0.7998 0.1464 0.1748 0.3369 0.2239 0.06515 0.2407 0.3181 0.8896 0.03175
"FLG2" 0.7608 2.649e-05 0.609 0.05239 0.7312 0.4079 0.6362 0.9157 0.7087 0.6475 0.05835 0.6055 0.6208 0.03185
"SPG11" 0.4327 0.2339 0.02971 0.002389 0.4211 0.8136 0.1613 NA 0.9676 0.3157 0.7673 0.09702 NA 0.03188
"ZNF407" 0.434 0.6252 0.4969 0.7155 0.2389 0.4957 0.3767 NA 0.1352 0.09412 0.7738 0.07157 0.6308 0.032
"SCN9A" 0.2473 7.604e-09 0.04645 9.567e-05 0.6909 0.9477 0.8052 NA 0.03764 0.3733 0.8921 0.7166 0.9362 0.03201
"VPRBP" 0.2261 0.818 NA NA 0.7463 0.3371 0.002818 NA 0.3581 0.6793 1 0.7042 NA 0.03203
"CR1" 0.562 0.05666 NA 0.2842 0.6631 0.4519 0.748 0.6504 0.6226 0.3324 0.7379 0.7246 NA 0.03206
"ATG2B" 0.04938 0.438 0.7231 0.1077 0.4274 0.2887 0.4509 0.3767 0.29 0.07026 1 0.9043 1 0.03215
"FAM135A" 0.7329 0.7997 NA NA 0.07293 0.0009006 0.00235 NA 0.7401 0.707 NA 0.8357 NA 0.0323
"TET1" 0.4792 7.523e-05 0.08557 0.09293 0.275 0.3664 0.04728 0.9157 0.4623 0.6006 0.5428 0.3852 1 0.03237
"THADA" 0.9451 0.7812 0.6604 0.09448 0.005921 0.2789 0.3145 NA 0.2787 0.02288 0.231 0.1855 NA 0.03257
"CENPE" 0.3995 0.09695 0.3734 0.03697 0.001674 0.4247 0.4462 NA 0.3552 0.3067 0.7917 0.8963 NA 0.03259
"SLC12A1" 0.5466 0.7051 0.5984 0.6865 0.9206 0.6914 0.4785 NA 0.1675 0.8088 1 0.6434 NA 0.03275
"C20orf26" 0.08811 0.162 NA 0.5752 0.03814 0.8302 0.8951 0.803 0.6969 0.1117 0.8815 0.7711 NA 0.03283
"VPS13D" 0.2511 0.189 0.6541 0.5699 0.5544 0.4229 0.216 0.3207 0.6591 0.4101 0.6267 0.7578 0.9362 0.03303
"PDGFRA" 0.5247 3.194e-12 0.2111 0.001793 0.9672 0.8927 0.7232 0.06077 0.6676 0.6933 0.5923 0.4222 NA 0.0331
"BRWD3" 0.6685 0.665 0.8199 0.276 0.09106 0.4334 0.8848 0.936 0.6894 0.5339 0.631 0.5212 NA 0.03326
"PTPRQ" 0.1361 NA NA NA NA 0.05427 0.1375 NA NA NA NA 0.0783 NA 0.03331
"HEATR1" 0.5954 0.2564 0.3289 0.3735 0.6364 0.7491 0.9114 0.6246 0.8682 0.9544 0.1813 0.8409 0.9362 0.03339
"PPL" 0.8204 0.001269 0.1782 0.2427 0.909 0.9167 0.2327 0.7829 0.1587 0.5924 0.4911 0.1857 0.9571 0.03347
"KIF16B" 0.6299 0.2034 0.3566 0.1323 0.006126 0.175 0.1939 0.7553 0.1985 0.004765 1 0.7885 NA 0.03367
"CHD9" 0.4592 0.1321 0.4918 0.9726 0.1186 0.7961 0.8809 0.4716 0.3205 0.08855 0.2352 0.5601 0.0995 0.03384
"MGA" 0.2511 0.08461 0.4353 0.9255 0.3002 0.3494 0.1891 NA 0.452 0.7515 0.3764 0.7607 1 0.03389
"IGF2R" 0.4893 0.3332 0.4241 0.5371 0.03983 0.4665 0.3214 0.8587 0.6309 0.8866 0.9102 0.9426 1 0.03395
"ZNF99" 0.4013 0.08023 0.9731 0.9998 0.415 0.8001 0.9602 0.5146 0.4351 0.9873 0.1505 0.06331 NA 0.03398
"MORC4" 0.6849 1.516e-08 0.3489 0.3491 0.2885 0.5822 0.5509 0.6023 0.5856 0.4439 0.6941 0.9831 NA 0.03401
"CNTN4" 0.9974 8.129e-06 0.9517 0.3031 0.6243 0.8723 NA 0.7829 0.9662 0.1614 0.7432 0.9852 NA 0.03414
"ADAMTS20" 0.1588 4.39e-05 0.9075 0.8605 0.4107 0.1135 0.2274 0.6255 0.7367 0.1656 0.4384 0.4378 1 0.03419
"MCF2L2" 0.4765 0.006003 1.083e-05 1.088e-08 0.2197 0.9234 0.1811 NA 0.5512 0.8327 0.1069 0.08829 0.9231 0.0343
"MPDZ" 0.3599 0.2269 0.07171 0.01598 0.1084 0.2703 0.2833 2.232e-05 0.5698 0.45 0.3012 0.684 0.5933 0.03435
"TNIK" 0.8035 0.3956 0.05928 0.3808 0.8682 0.2258 0.1832 NA 0.4275 0.4459 0.05148 0.1748 0.9099 0.03451
"MYO9A" 0.3283 7.333e-05 0.08307 0.9425 0.622 0.831 0.4642 0.6952 0.674 0.8096 1 0.2234 1 0.03466
"GPR179" 0.7947 0.06827 1.588e-14 0 0.1171 0.9445 0.3317 NA 0.9522 0.2565 0.1899 0.6878 0.6292 0.03483
"DNMBP" 0.8493 0.02755 0.3525 0.9966 0.122 0.9047 NA NA 0.105 0.8702 0.2881 0.5624 NA 0.03489
"CUL7" 0.4764 0.5233 NA 0.4911 0.1477 0.3518 0.2827 0.766 0.7039 0.6182 0.4001 0.2229 NA 0.03491
"CNTNAP5" 0.4017 1.834e-07 0.9209 0.2269 0.1883 0.9734 NA NA 0.4341 0.6069 0.2737 0.6922 NA 0.03499
"IQGAP2" 0.2064 0.03226 1 1 0.6377 0.5508 0.2719 NA 0.3506 0.7874 0.2905 0.4537 NA 0.03509
"NAV3" 0.8147 0.3323 0.01324 0.06115 0.6646 0.4622 0.2988 0.7521 0.262 0.7658 0.451 0.6889 0.9098 0.03509
"THSD7A" 0.0006435 0.008142 0.8218 0.2884 0.347 0.2802 0.4856 0.8056 0.3546 0.3402 0.6053 0.6279 NA 0.03533
"ITGAM" 0.865 0.3929 0.06503 0.5098 0.9046 0.5101 0.6931 NA 0.5013 0.3652 1 0.1214 0.9362 0.03535
"PCDHB5" 0.5777 1.398e-05 0.4328 0.032 0.7544 0.007278 0.5551 0.8173 0.1246 0.2743 0.7775 0.506 0.8623 0.03547
"UNC79" 0.7846 NA NA 0.4799 NA 0.8809 NA 0.7604 NA NA NA 0.296 0.9001 0.03575
"CACNA2D3" 0.2485 0.4989 0.7438 0.8893 0.4339 NA NA 0.7829 0.5384 0.7463 1 0.5778 1 0.03587
"GPRASP1" 0.0003112 0.7721 NA 0.7599 0.629 0.04249 0.9653 0.9157 0.806 0.1057 0.9821 0.6233 1 0.03593
"FAM83B" 0.6254 0.8103 0.9259 0.7408 0.187 0.4255 0.718 0.529 0.4131 0.2205 0.001822 0.9151 1 0.03608
"SMG1" 0.3395 5.693e-05 0.1017 0.006304 0.1175 0.5798 0.3238 NA 0.5721 0.4408 1 0.232 0.9072 0.03622
"SRRM2" 0.001114 0.4538 0.4629 0.1841 0.05595 0.04189 0.0643 0.2154 0.4555 0.9337 0.282 0.9394 0.9362 0.03632
"PHLDB2" 0.6714 0.005266 0.271 0.9419 0.1984 NA NA 0.7147 0.6302 0.6714 0.82 0.2022 0.02934 0.03708
"SNRNP200" 0.299 0.7872 0.6676 0.5699 0.5389 0.4047 0.404 0.7548 0.7951 0.3514 0.3539 0.2514 NA 0.03709
"KIRREL" 0.9514 0.8475 0.8747 0.6499 0.628 0.7928 0.7821 NA 0.3655 0.2267 1 0.08812 NA 0.03714
"SCAPER" 0.508 3.69e-07 0.6685 0.8292 0.4159 0.1348 0.02964 NA 1 0.582 0.2475 0.9705 NA 0.03736
"PCDHA8" 0.8563 7.522e-10 0.6187 0.6028 0.4549 0.6283 0.4575 NA 0.8016 0.232 1 0.6564 NA 0.03744
"EPHB1" 0.3263 0.7145 0.06582 0.3137 0.9162 0.8873 0.4785 NA 0.6767 0.2316 0.8985 0.2412 0.6235 0.03745
"LRRK1" 0.5139 0.7192 0.3208 0.9675 0.811 0.5295 0.4423 0.5929 0.6058 0.01934 0.2188 0.08689 NA 0.03754
"CELSR2" 0.6575 0.006356 0.283 0.3494 0.6441 0.2741 0.3967 0.7578 0.5674 0.1618 0.05274 0.4237 NA 0.03758
"CLASP1" 0.5314 1.809e-08 0.2512 0.007987 0.06315 0.4123 0.7275 5.542e-07 0.7768 0.6759 1 0.3929 1 0.0376
"SLC9A10" NA 0.6187 0.0002169 5.345e-08 0.7502 0.9532 0.9504 NA 0.6832 0.4114 0.4012 0.4868 NA 0.03769
"REV3L" 0.9268 0.003388 0.1371 0.2773 0.7228 0.8004 0.1304 0.9157 0.6924 0.8009 1 0.7962 1 0.03776
"FILIP1" 0.6954 0.7354 0.2406 0.07862 0.3513 0.3929 0.361 0.05704 0.3007 0.3038 NA 0.6595 1 0.03816
"TRPA1" 0.609 0.5397 0.1278 0.03383 0.5346 0.7443 0.4367 0.733 0.2612 0.06712 0.4205 0.7347 1 0.03819
"A2M" 0.835 6.918e-08 0.4561 0.9371 0.5406 0.9032 0.3031 0.7993 0.6492 0.901 0.2201 0.4382 1 0.03821
"TNRC6A" 0.8589 0.0001455 0.6511 0.0452 0.5795 0.6389 0.8602 0.5946 0.4788 0.5421 0.7045 0.7235 NA 0.03822
"COL19A1" 0.4419 0.7944 0.9198 0.4155 0.1117 0.5432 0.125 0.06776 0.962 0.01103 0.7186 0.1327 1 0.0383
"MSH6" 0.6321 1.67e-06 0.253 0.02771 0.3282 0.3688 0.2262 NA 0.0245 0.4767 0.000536 0.251 NA 0.03831
"CDK5RAP2" 0.7089 1.848e-05 0.7619 0.7611 0.2559 0.01344 0.03632 0.8089 0.363 0.5522 0.2087 0.2662 NA 0.03834
"SAMD9L" 0.7536 0.228 0.4178 0.8592 0.8078 0.2637 0.4342 NA 0.6939 0.2755 0.4391 0.4734 1 0.03842
"CACNA1G" 0.7869 0.007612 0.679 0.7524 0.000164 0.5657 0.7157 0.1732 0.7719 0.181 0.9415 0.2071 0.488 0.03845
"ADAM7" 0.3498 0.04653 0.3277 0.004134 0.6606 0.8221 NA 5.978e-09 0.4283 0.8475 NA 0.7254 NA 0.03852
"MAGEC1" 0.5622 0.03616 0.6748 0.9839 0.3405 0.5974 0.6273 0.5045 0.1586 0.6528 1 0.9061 1 0.03853
"ERBB4" 0.3183 0.0008226 NA 0.3294 0.494 0.7241 0.8511 0.6462 0.9685 0.05971 NA 0.8549 6.593e-06 0.03878
"TPTE" 0.4183 0.0002055 0.1427 0.3308 0.9958 0.5754 0.5248 0.2484 0.4004 0.4172 0.9877 0.2885 NA 0.03883
"LRP6" 0.576 0.0173 0.3937 0.8441 0.5553 0.1032 0.2862 0.6497 0.2806 0.4884 0.2121 0.5663 NA 0.03897
"CACNA1F" 0.1579 0.434 4.287e-10 0.00691 0.006325 0.7904 0.9767 0.01114 0.1438 0.5025 0.09843 0.3847 NA 0.03912
"ARHGAP31" 0.2614 6.367e-08 NA 0.4355 0.4328 0.4125 0.272 0.7371 0.3243 0.1777 0.45 0.4131 NA 0.03924
"AKAP11" 0.1484 0.7719 0.6685 0.8292 0.1141 0.7883 0.9445 NA 0.953 0.8416 1 0.4233 1 0.03933
"MYO15A" 0.6945 0.8033 0.2203 0.03822 0.0005255 0.209 0.4078 0.1245 0.1884 0.6231 0.1958 0.3412 0.7761 0.03941
"CNOT1" 0.5051 0.3595 0.5659 0.4196 0.713 0.9223 0.9826 0.4082 0.9117 0.1503 0.05702 0.9217 0.9099 0.03943
"PCDH11X" 0.899 1.055e-06 0.01904 1e-06 0.3541 0.4976 0.005839 0 0.333 0.8292 NA 0.2303 0.7907 0.03955
"NYNRIN" 0.6239 0.7834 0.7905 0.6688 0.08968 0.1973 0.9 0.8613 0.7576 0.6296 0.09136 0.8234 0.597 0.0396
"CCDC73" 0.484 0.01165 NA NA 0.8018 0.228 0.4994 NA 0.8226 0.5894 0.2203 0.7528 NA 0.04015
"DOCK11" 0.5299 0.08062 0.6818 0.8173 0.9445 0.00538 0.01171 0.7713 0.9668 0.01919 0.3197 0.6167 0.9072 0.04058
"POLA1" 0.5157 0.7722 0.3893 0.8014 0.271 0.6323 0.0003532 0.78 0.4742 0.7863 0.517 0.7393 NA 0.04068
"PTPRK" 0.8235 0.1847 0.6454 0.7082 0.6531 0.1061 0.202 NA 0.2415 0.1795 0.6817 0.5722 1 0.04079
"MXRA5" 0.1393 0.1814 0.2753 0.02365 0.9002 0.4426 0.5527 0.0425 0.3401 0.01405 0.8717 0.3578 1 0.04086
"KCNT2" 0.5406 0.1987 0.8547 0.4366 0.1959 0.5295 0.5301 0.001953 0.4356 0.8477 0.432 0.6837 1 0.04092
"ROS1" 0.1405 7.44e-07 0.08492 0.6507 0.8846 0.1958 0.1772 0.599 0.4881 0.4764 0.3477 0.4652 0.633 0.04112
"ZEB2" 0.4687 0.02661 NA 0.3027 0.7528 0.4073 0.3676 0.9445 0.3277 0.3465 0.2289 0.4942 NA 0.04121
"OTOF" 0.9902 0.6416 0.2359 0.6747 0.644 0.2391 0.1303 0.6684 0.199 0.05302 0.4597 0.9134 NA 0.04124
"ZNF709" 1 4.367e-06 0.8924 0.6892 0.8441 0.4341 0.3154 NA 0.8892 0.5772 NA 0.2771 0.02687 0.0413
"PRPF8" 0.3454 0.369 0.9369 0.9462 0.05836 0.06648 0.4326 0.8056 0.2044 0.8181 0.5371 0.8618 0.6282 0.04133
"IGSF10" 0.2633 1.823e-09 0.00259 0.9939 0.2615 0.7747 0.857 0.6688 0.0881 0.4519 0.06065 0.4412 1 0.04141
"ANO2" 0.4889 0.01165 1.071e-05 0.1457 0.3088 0.4263 0.568 0.4036 0.7163 0.2415 0.6198 0.3547 1 0.04144
"NRXN1" 0.6904 0.1808 0.7061 0.3281 0.826 0.8169 0.4827 0.6462 0.8396 0.8739 0.2653 0.05157 0.2551 0.04167
"SLITRK4" 0.03501 0.00183 0.3972 0.753 0.2093 0.4481 0.4245 0.5091 0.9796 0.7729 0.0004973 0.01321 NA 0.04175
"BRDT" 0.0685 0.01547 0.6731 0.6505 0.9156 0.3951 0.3381 NA 0.5629 0.3167 1 0.6397 1 0.04185
"MON2" 0.7865 0.7692 0.003683 0.6775 0.2803 0.6208 0.1297 0.5039 0.1905 0.017 1 0.2619 1 0.04202
"ABCA1" 0.5973 7.736e-10 0.5604 0.8416 0.03207 0.7285 0.8606 0.7604 0.2261 0.6957 0.1311 0.2524 1 0.04202
"DSCAML1" 0.4256 0.2219 0.5523 0.4805 0.8774 0.4348 0.3273 0.7604 0.5127 0.6025 0.7445 0.3136 1 0.04218
"TDRD6" 0.2702 4.203e-05 0.2292 0.5795 0.9515 0.7067 0.6502 NA 0.1891 0.8291 0.6227 0.6802 0.4939 0.04227
"ARHGAP20" 0.01625 1.111e-07 0.004107 8.257e-05 0.7772 0.5714 0.3306 NA 0.2626 0.576 0.2945 0.7789 NA 0.0423
"PCDHGA12" 0.5592 0.76 0.2216 0.01456 0.4682 0.5042 0.4856 NA 0.7076 0.7525 0.09681 0.4187 NA 0.04258
"CPS1" 0.9346 0.6815 0.9921 0.8903 0.4597 0.4003 0.3202 0.4543 0.6968 0.5319 0.9078 0.2192 1 0.04272
"ARFGEF1" 0.1092 1.418e-09 0.342 0.06009 0.3642 0.6951 0.7975 NA 0.1528 0.834 0.5874 0.3007 NA 0.043
"SPTB" 0.4099 0.5087 0.7529 0.1851 0.05561 0.6101 0.9227 0.02498 0.6431 0.9121 0.0941 0.5 1 0.04305
"DEPDC5" 0.3839 0.01275 0.9711 0.1705 0.02563 0.2709 0.3347 3.33e-08 0.1146 0.02689 0.6116 0.4095 1 0.04313
"LRP1" 0.9486 0.6083 0.5641 0.5329 0.834 0.8918 0.4574 0.5129 0.7079 0.0005465 0.3065 0.423 1.701e-11 0.04316
"ALG13" 0.6433 0.9159 0.5792 0.7136 0.01142 4.109e-05 0.0005815 0.7488 0.4322 0.4788 NA 0.8891 0.8243 0.0435
"HRNR" 0.1339 0.0001308 0.7907 0.5554 0.586 0.1214 0.4107 0.6899 0.1969 0.07994 0.8602 0.3933 0.9098 0.04354
"PDZD2" 0.9911 0.7818 0.4857 0.44 0.3877 0.6038 0.916 0.6164 0.4334 0.672 0.6815 0.3971 0.6282 0.04379
"SORL1" 0.6528 0.7409 0.2298 0.7613 0.05277 0.4575 0.1152 0.6251 0.7392 0.154 0.6243 0.05197 1 0.04412
"RASA1" 0.9517 0.7579 0.5498 0.6521 0.587 0.08089 0.198 0.3946 0.3186 0.9665 1 0.05858 1 0.04444
"COL6A5" 0.7893 0.006761 NA NA NA 0.3626 0.673 NA NA NA 0.4233 0.6799 NA 0.04461
"TET2" 0.2932 0.7406 0.1299 0.0224 0.05733 0.3924 0.3214 0.9264 3.247e-05 0.2113 0.6095 0.5888 NA 0.0447
"ANKRD36" 0.5955 NA 0.5417 0.523 0.08129 0.1765 0.09279 NA 0.3758 1 0.5988 0.8816 1 0.04487
"ABCA5" 0.6363 2.208e-07 0.6051 0.1264 1.741e-06 0.921 0.3194 NA 0.6494 0.883 0.3711 0.4213 0.7622 0.04499
"PLEKHH2" 0.2161 0.1733 NA NA 0.8583 0.6493 0.5055 NA 0.313 0.569 NA 0.83 NA 0.04501
"NFASC" 0.629 0.0009588 0.05795 0.1082 0.5557 0.6736 0.5526 0.9157 0.9649 0.1179 0.4015 0.8453 NA 0.04541
"PAPPA" 0.4312 0.8445 0.6724 0.8026 0.6563 0.004441 7.689e-06 0.691 0.861 0.5273 0.7994 0.05638 NA 0.04541
"FREM3" 0.8584 NA NA NA NA 0.5141 0.4642 NA NA NA NA 0.7256 NA 0.04543
"PIK3CG" 0.5165 0.5724 0.7012 0.06808 0.1943 0.001525 0.004347 0.7717 0.4183 0.04794 0.5063 0.1704 0.7467 0.04571
"BSN" 0.4661 0.0622 0.03752 0.1044 0.09604 0.3998 0.2967 0.6203 0.9823 0.06876 0.8093 0.7537 0.6421 0.04585
"TRPC4" 0.7832 0.003188 0.8941 0.7988 0.5075 0.6044 0.6938 0.5531 0.06018 0.9268 0.9162 0.1406 1 0.04618
"DGKI" 0.606 0.4392 0.7461 0.7913 0.508 NA NA NA 0.6909 0.1238 2.7e-05 0.5953 NA 0.04626
"DUSP27" 0.2979 0.7633 0.5593 0.3692 0.7281 0.06806 0.28 0.5396 0.488 0.01287 0.8332 0.0952 1 0.04629
"PCDHA7" 0.5947 0.7927 0.6774 0.7812 0.5295 0.8756 0.8431 0.8896 0.01696 0.0593 0.4547 0.9459 NA 0.04632
"WDR96" 0.06808 NA NA 0.5358 NA 0.6578 NA 0.3844 NA NA NA 4.692e-05 NA 0.04642
"CEP170" 0.1669 0.181 0.09461 0.01334 0.2795 0.8505 0.8539 NA 0.1321 0.2454 1 0.4145 NA 0.04671
"WDR17" 0.7623 0.07796 NA 0.3308 0.3291 0.3972 0.3985 0.6462 0.7635 0.282 0.3156 0.4491 1 0.0469
"MCF2" 0.2975 0.03442 0.6833 0.6062 0.4851 0.7878 0.4786 0.5487 0.8482 0.6671 NA 0.1622 1 0.04706
"YLPM1" 0.1392 0.004303 0.002283 3.298e-05 0.03028 0.7737 0.4266 NA 0.41 0.02387 0.5449 0.3068 0.9098 0.04713
"PPP2R1A" 0.3794 0.6363 NA NA 0.4702 0.4115 0.4545 NA 0.4762 0.3926 0.3399 0.1392 0.006725 0.0472
"DMXL1" 0.3634 0.1899 0.3622 0.06423 0.1144 0.8634 0.5517 0.0002573 0.2467 0.3705 0.1923 0.7894 0 0.0474
"NOS1" 0.5241 0.6034 0.3908 0.07981 0.3097 0.001957 0.01215 0.00448 0.8864 0.7879 0.9151 0.7341 1 0.04751
"KIF14" 0.5494 0.05842 NA NA 0.2646 0.6788 0.498 NA 0.355 0.1124 0.6782 0.4444 1 0.04755
"ZC3H12B" 0.8884 0.8101 0.9475 0.3458 0.9135 NA NA 0.006745 0.6782 0.7473 NA 0.4889 NA 0.04763
"STAG2" 0.2972 0.1286 0.002007 0.006661 0.535 0.9903 0.9188 0.4716 0.1507 0.7909 0.9031 0.8885 1 0.048
"ENPP2" 0.0166 0.155 0.9065 0.8061 0.009898 0.5309 0.3986 0.7702 0.04648 0.1119 0.6658 0.8187 0.9231 0.04823
"TRPS1" 0.5615 0.24 0.007349 4.404e-05 0.4686 0.923 NA NA 0.3234 0.8357 0.9731 0.5221 1 0.04836
"ADCY9" 0.8739 0.6773 0.1993 0.04947 0.02744 0.4689 0.1693 0.7829 0.634 0.1827 0.7484 0.9281 0.8796 0.04878
"MAP7D2" 0.4572 0.006133 1 0.03339 0.208 0.5192 0.4718 4.371e-11 0.09301 0.7246 0.0685 2.144e-07 0.5238 0.0488
"TRIP12" 0.9526 0.002063 0.8932 0.5279 0.6845 0.7849 0.2661 0.4578 0.2694 0.01014 0.4861 0.6705 1 0.0489
"FLNB" 0.4659 0.0004688 0.8434 0.6393 0.8869 0.2803 0.003723 0.3715 0.6384 0.5645 0.5681 0.3457 NA 0.04892
"SRGAP1" 0.5864 0.7489 0.8032 0.7925 0.0006748 0.6273 0.9222 0.5457 0.3925 0.8628 0.8638 0.6621 NA 0.04901
"PCDHGA5" 0.3918 0.006623 0.723 0.5627 0.3599 0.4515 0.4594 0.07133 0.5454 0.5481 0.5532 0.3547 NA 0.04919
"CYLC1" 0.6565 0.3956 0.01796 0.0758 0.2986 0.763 0.6066 0.7824 0.2187 0.2783 0.2948 0.233 NA 0.04952
"AQR" 0.8937 0.7748 0.1342 0.2665 0.6385 0.8305 0.9468 NA 0.1166 0.9064 1 0.8032 NA 0.04953
"DLC1" 0.3023 0.6511 0.7202 0.9411 0.7877 0.5387 0.496 0.2479 0.007635 0.3594 0.939 0.6989 0.1173 0.04953
"ALS2CR11" 0.377 0.7903 1.47e-11 0 0.9552 1.19e-10 4.913e-07 NA 0.8513 0.7965 1 0.6932 NA 0.04973
"CARD6" 0.299 0.6605 0.001782 0.0001713 0.2653 0.1067 0.1238 0.7604 1.293e-09 0.7943 0.2341 0.531 1 0.0498
"SULF1" 0.00207 0.1524 0.8209 0.1552 0.4614 0.1214 0.2309 NA 0.5611 0.03191 0.0001009 0.5389 NA 0.04998
